/@version;/@version/#agg;/attributes.specific/@program;/attributes.specific/attr/@id;/attributes.specific/attr;/description;/language;/program;/section/attributes.specific/@program;/section/attributes.specific/attr/@id;/section/attributes.specific/attr;itemid;/section/question/attributes.specific/@program;/section/question/attributes.specific/attr/@id;/section/question/attributes.specific/attr;/section/question/class;/section/question/description;/section/question/explanation;/section/question/inputPosition;questionid;/section/question/item/attributes.specific/@program;/section/question/item/attributes.specific/attr/@id;optionid;answer;questxt;/section/question/order;context;/section/title;/timestamp;/title;/version
2,4;2,4;ofb;language;ger;sprichworttest rubrik fragen item 001,002 xml essai;ger;sosci;ofb;id;FR;1;ofb;id;1;select;item01;weisen die der frage die richtige antwort zu;right;;;;;;Warum sagt Oskar, Hunde die bellen, beißen nicht?;default;Paul und Oskar sind gute Freunde und sprechen über Geld. Paul traut sich nicht, nach einer Lohnerhöhung zu fragen, weil sein Chef gerade sehr gestresst ist und oft Leute anschreit. Paul fragt Oskar: Soll ich meinen Chef nach mehr Lohn fragen? Oskar antwortet: Hunde, die bellen, beißen nicht. Paul zu Oskar: Das ist richtig, dann sollte ich mutig sein.;fragen;2022-02-01 14:23:44;fragen;3.2.49
2,4;;ofb;language;ger;sprichworttest rubrik fragen item 001,002 xml essai;ger;sosci;ofb;id;FR;1;ofb;pos;1;select;item01;weisen die der frage die richtige antwort zu;right;;;;;;Warum sagt Oskar, Hunde die bellen, beißen nicht?;default;Paul und Oskar sind gute Freunde und sprechen über Geld. Paul traut sich nicht, nach einer Lohnerhöhung zu fragen, weil sein Chef gerade sehr gestresst ist und oft Leute anschreit. Paul fragt Oskar: Soll ich meinen Chef nach mehr Lohn fragen? Oskar antwortet: Hunde, die bellen, beißen nicht. Paul zu Oskar: Das ist richtig, dann sollte ich mutig sein.;fragen;2022-02-01 14:23:44;fragen;3.2.49
2,4;;ofb;language;ger;sprichworttest rubrik fragen item 001,002 xml essai;ger;sosci;ofb;id;FR;1;;;;select;item01;weisen die der frage die richtige antwort zu;right;1;ofb;id;1;Weil Oskar glaubt, dass Pauls Vorgesetzter seinem Wunsch zustimmen wird.;Warum sagt Oskar, Hunde die bellen, beißen nicht?;default;Paul und Oskar sind gute Freunde und sprechen über Geld. Paul traut sich nicht, nach einer Lohnerhöhung zu fragen, weil sein Chef gerade sehr gestresst ist und oft Leute anschreit. Paul fragt Oskar: Soll ich meinen Chef nach mehr Lohn fragen? Oskar antwortet: Hunde, die bellen, beißen nicht. Paul zu Oskar: Das ist richtig, dann sollte ich mutig sein.;fragen;2022-02-01 14:23:44;fragen;3.2.49
2,4;;ofb;language;ger;sprichworttest rubrik fragen item 001,002 xml essai;ger;sosci;ofb;id;FR;1;;;;select;item01;weisen die der frage die richtige antwort zu;right;1;ofb;pos;1;Weil Oskar glaubt, dass Pauls Vorgesetzter seinem Wunsch zustimmen wird.;Warum sagt Oskar, Hunde die bellen, beißen nicht?;default;Paul und Oskar sind gute Freunde und sprechen über Geld. Paul traut sich nicht, nach einer Lohnerhöhung zu fragen, weil sein Chef gerade sehr gestresst ist und oft Leute anschreit. Paul fragt Oskar: Soll ich meinen Chef nach mehr Lohn fragen? Oskar antwortet: Hunde, die bellen, beißen nicht. Paul zu Oskar: Das ist richtig, dann sollte ich mutig sein.;fragen;2022-02-01 14:23:44;fragen;3.2.49
2,4;;ofb;language;ger;sprichworttest rubrik fragen item 001,002 xml essai;ger;sosci;ofb;id;FR;1;;;;select;item01;weisen die der frage die richtige antwort zu;right;2;ofb;id;2;Weil Oskar glaubt, Paul sollte mit der Frage warten, bis sein Vorgesetzter weniger Stress hat.;Warum sagt Oskar, Hunde die bellen, beißen nicht?;default;Paul und Oskar sind gute Freunde und sprechen über Geld. Paul traut sich nicht, nach einer Lohnerhöhung zu fragen, weil sein Chef gerade sehr gestresst ist und oft Leute anschreit. Paul fragt Oskar: Soll ich meinen Chef nach mehr Lohn fragen? Oskar antwortet: Hunde, die bellen, beißen nicht. Paul zu Oskar: Das ist richtig, dann sollte ich mutig sein.;fragen;2022-02-01 14:23:44;fragen;3.2.49
2,4;;ofb;language;ger;sprichworttest rubrik fragen item 001,002 xml essai;ger;sosci;ofb;id;FR;1;;;;select;item01;weisen die der frage die richtige antwort zu;right;2;ofb;pos;2;Weil Oskar glaubt, Paul sollte mit der Frage warten, bis sein Vorgesetzter weniger Stress hat.;Warum sagt Oskar, Hunde die bellen, beißen nicht?;default;Paul und Oskar sind gute Freunde und sprechen über Geld. Paul traut sich nicht, nach einer Lohnerhöhung zu fragen, weil sein Chef gerade sehr gestresst ist und oft Leute anschreit. Paul fragt Oskar: Soll ich meinen Chef nach mehr Lohn fragen? Oskar antwortet: Hunde, die bellen, beißen nicht. Paul zu Oskar: Das ist richtig, dann sollte ich mutig sein.;fragen;2022-02-01 14:23:44;fragen;3.2.49
2,4;;ofb;language;ger;sprichworttest rubrik fragen item 001,002 xml essai;ger;sosci;ofb;id;FR;1;;;;select;item01;weisen die der frage die richtige antwort zu;right;3;ofb;id;3;Weil Oskar glaubt, dass Paul von lauten Tieren nicht verletzt werden wird.;Warum sagt Oskar, Hunde die bellen, beißen nicht?;default;Paul und Oskar sind gute Freunde und sprechen über Geld. Paul traut sich nicht, nach einer Lohnerhöhung zu fragen, weil sein Chef gerade sehr gestresst ist und oft Leute anschreit. Paul fragt Oskar: Soll ich meinen Chef nach mehr Lohn fragen? Oskar antwortet: Hunde, die bellen, beißen nicht. Paul zu Oskar: Das ist richtig, dann sollte ich mutig sein.;fragen;2022-02-01 14:23:44;fragen;3.2.49
2,4;;ofb;language;ger;sprichworttest rubrik fragen item 001,002 xml essai;ger;sosci;ofb;id;FR;1;;;;select;item01;weisen die der frage die richtige antwort zu;right;3;ofb;pos;3;Weil Oskar glaubt, dass Paul von lauten Tieren nicht verletzt werden wird.;Warum sagt Oskar, Hunde die bellen, beißen nicht?;default;Paul und Oskar sind gute Freunde und sprechen über Geld. Paul traut sich nicht, nach einer Lohnerhöhung zu fragen, weil sein Chef gerade sehr gestresst ist und oft Leute anschreit. Paul fragt Oskar: Soll ich meinen Chef nach mehr Lohn fragen? Oskar antwortet: Hunde, die bellen, beißen nicht. Paul zu Oskar: Das ist richtig, dann sollte ich mutig sein.;fragen;2022-02-01 14:23:44;fragen;3.2.49
2,4;;ofb;language;ger;sprichworttest rubrik fragen item 001,002 xml essai;ger;sosci;ofb;id;FR;1;;;;select;item01;weisen die der frage die richtige antwort zu;right;4;ofb;id;4;Weil Vierbeiner ungefährlich werden, wenn sie zum Bellen ihre ganze Energie verbrauchen.;Warum sagt Oskar, Hunde die bellen, beißen nicht?;default;Paul und Oskar sind gute Freunde und sprechen über Geld. Paul traut sich nicht, nach einer Lohnerhöhung zu fragen, weil sein Chef gerade sehr gestresst ist und oft Leute anschreit. Paul fragt Oskar: Soll ich meinen Chef nach mehr Lohn fragen? Oskar antwortet: Hunde, die bellen, beißen nicht. Paul zu Oskar: Das ist richtig, dann sollte ich mutig sein.;fragen;2022-02-01 14:23:44;fragen;3.2.49
2,4;;ofb;language;ger;sprichworttest rubrik fragen item 001,002 xml essai;ger;sosci;ofb;id;FR;1;;;;select;item01;weisen die der frage die richtige antwort zu;right;4;ofb;pos;4;Weil Vierbeiner ungefährlich werden, wenn sie zum Bellen ihre ganze Energie verbrauchen.;Warum sagt Oskar, Hunde die bellen, beißen nicht?;default;Paul und Oskar sind gute Freunde und sprechen über Geld. Paul traut sich nicht, nach einer Lohnerhöhung zu fragen, weil sein Chef gerade sehr gestresst ist und oft Leute anschreit. Paul fragt Oskar: Soll ich meinen Chef nach mehr Lohn fragen? Oskar antwortet: Hunde, die bellen, beißen nicht. Paul zu Oskar: Das ist richtig, dann sollte ich mutig sein.;fragen;2022-02-01 14:23:44;fragen;3.2.49
